City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Kapuskasing,CA,2022-09-17 01:18:07,49.4169,-82.4331,48.29,93,75,2.3
262,Kodiak,US,2022-09-17 01:18:08,57.79,-152.4072,53.11,87,100,11.5
263,Haines Junction,CA,2022-09-17 01:18:08,60.7522,-137.5108,58.95,36,6,2.3
264,Sechura,PE,2022-09-17 01:18:08,-5.5569,-80.8222,66.38,78,27,14.72
265,Horodnytsya,UA,2022-09-17 01:18:09,50.807,27.3168,52.54,81,100,4.97
266,Neftekamsk,RU,2022-09-17 01:18:09,56.092,54.2703,49.75,85,94,4.65
267,Belle Fourche,US,2022-09-17 01:18:09,44.6714,-103.8522,65.5,56,100,7.2
268,Saint George,US,2022-09-17 01:18:07,37.1041,-113.5841,86.63,29,0,10.36
269,Khatanga,RU,2022-09-17 01:18:10,71.9667,102.5,30.0,93,97,15.64
270,Dongkan,CN,2022-09-17 01:18:10,33.9997,119.8308,73.15,89,100,6.51
271,Mwinilunga,ZM,2022-09-17 01:18:11,-11.7358,24.4293,65.34,39,97,5.28
272,Djibo,BF,2022-09-17 01:18:11,14.1022,-1.6306,79.93,66,4,13.06
273,Oskaloosa,US,2022-09-17 01:18:11,41.2964,-92.6444,76.98,73,75,8.05
274,Narsaq,GL,2022-09-17 01:18:12,60.9167,-46.05,61.02,72,100,13.78
275,Qaqortoq,GL,2022-09-17 01:18:12,60.7167,-46.0333,51.44,75,100,9.55
276,Luanda,AO,2022-09-17 01:18:12,-8.8368,13.2343,71.31,87,83,5.35
277,Anadyr,RU,2022-09-17 01:18:13,64.75,177.4833,41.5,93,100,22.37
278,Mount Gambier,AU,2022-09-17 01:18:13,-37.8333,140.7667,53.51,82,75,20.71
279,Bairiki,KI,2022-09-17 01:18:13,1.3292,172.9752,87.8,62,20,9.22
280,Arawa,PG,2022-09-17 01:18:14,-6.2132,155.5367,87.55,55,99,5.06
281,Alekseyevsk,RU,2022-09-17 01:18:14,57.8406,108.3492,45.73,65,99,3.96
282,Castlegar,CA,2022-09-17 01:18:14,49.2998,-117.6689,52.48,79,87,4.34
283,Tsilna,RU,2022-09-17 01:18:15,54.5953,48.1414,51.35,94,100,6.31
284,Lakes Entrance,AU,2022-09-17 01:18:15,-37.8811,147.981,66.16,44,4,8.19
285,Guerrero Negro,MX,2022-09-17 01:18:16,27.9769,-114.0611,71.33,73,0,19.33
286,Takoradi,GH,2022-09-17 01:18:16,4.8845,-1.7554,74.08,94,62,5.1
287,Lompoc,US,2022-09-17 01:18:16,34.6391,-120.4579,76.57,79,0,14.97
288,Ihosy,MG,2022-09-17 01:18:17,-22.4,46.1167,60.13,80,80,7.56
289,Bima,ID,2022-09-17 01:18:17,-8.4667,118.7167,87.98,46,100,4.18
290,Half Moon Bay,US,2022-09-17 01:15:24,37.4636,-122.4286,74.57,71,0,26.46
291,Kupang,ID,2022-09-17 01:18:18,-10.1667,123.5833,86.92,47,40,0.69
